store_id,birthdate,purchases_qty
8,1969-12-15,6
8,1970-09-02,6
8,1974-05-30,6
8,1976-05-04,6
8,1981-07-05,6
8,1982-01-01,6
8,1982-04-28,6
8,1982-08-31,6
8,1982-12-08,6
8,1985-08-25,6
8,1986-05-07,6
8,1987-01-14,6
8,1988-04-30,6
8,1991-01-31,6
8,1991-05-01,6
8,1998-04-01,6
8,1998-10-09,6
8,1999-08-18,6
8,2000-07-25,6
8,2000-11-07,6
8,2004-07-08,6
8,2006-01-15,6
8,2009-06-02,6
8,1964-09-05,7
8,1979-12-13,7
8,1980-04-03,7
8,1991-01-05,7
8,2003-08-14,7
8,1983-08-25,8
8,1991-05-16,8
8,2000-06-30,8
9,1965-07-05,6
9,1965-08-20,6
9,1969-03-21,6
9,1969-05-14,6
9,1974-06-04,6
9,1974-10-13,6
9,1979-12-28,6
9,1981-01-20,6
9,1984-11-21,6
9,1988-08-04,6
9,1990-09-26,6
9,1992-11-14,6
9,1994-06-01,6
9,1995-01-20,6
9,1998-05-15,6
9,1998-09-22,6
9,2000-02-10,6
9,2001-06-26,6
9,2001-09-25,6
9,2002-01-01,6
9,2003-06-05,6
9,2004-10-02,6
9,2005-06-24,6
9,2006-07-09,6
9,2009-01-28,6
9,1972-04-10,7
9,1972-08-03,7
9,1983-08-14,7
9,1984-03-30,7
9,1990-06-01,7
9,2003-08-01,7
9,2003-08-10,7
9,1983-05-23,8
9,2003-11-05,8
9,1979-12-04,9
10,1965-05-02,6
10,1967-10-03,6
10,1968-03-20,6
10,1968-11-05,6
10,1969-07-19,6
10,1970-12-31,6
10,1971-07-10,6
10,1974-10-18,6
10,1976-07-16,6
10,1978-06-26,6
10,1980-12-19,6
10,1983-06-28,6
10,1985-02-19,6
10,1985-07-13,6
10,1986-06-08,6
10,1988-09-24,6
10,1989-05-01,6
10,1997-12-28,6
10,1999-01-24,6
10,2002-12-15,6
10,2003-12-14,6
10,2006-09-13,6
10,2008-06-30,6
10,2008-07-24,6
10,2009-02-23,6
10,1968-01-14,7
10,1972-10-31,7
10,1981-04-24,7
10,1986-04-06,7
10,1987-08-01,7
10,1988-09-14,7
10,1996-11-09,7
10,2000-02-19,7
10,2004-11-10,7
10,2006-02-22,7
